ID,Category,Img,Name,Obtained?,Research #,,,,,,,,,
426,Weapons,,Breaker Blade,No,1,,,,,,,,,
427,Lighting,,Blue Torch,No,100,,,,,,,,,
428,Lighting,,Red Torch,No,100,,,,,,,,,
429,Lighting,,Green Torch,No,100,,,,,,,,,
430,Lighting,,Purple Torch,No,100,,,,,,,,,
431,Lighting,,White Torch,No,100,,,,,,,,,
432,Lighting,,Yellow Torch,No,100,,,,,,,,,
433,Lighting,,Demon Torch,No,100,,,,,,,,,
434,Weapons,,Clockwork Assault Rifle,No,1,,,,,,,,,
435,Weapons,,Cobalt Repeater,No,1,,,,,,,,,
436,Weapons,,Mythril Repeater,No,1,,,,,,,,,
437,Tools,,Dual Hook,No,1,,,,,,,,,
438,Statues,,Star Statue,No,1,,,,,,,,,
439,Statues,,Sword Statue,No,1,,,,,,,,,
440,Statues,,Slime Statue,No,1,,,,,,,,,
441,Statues,,Goblin Statue,No,1,,,,,,,,,
442,Statues,,Shield Statue,No,1,,,,,,,,,
443,Statues,,Bat Statue,No,1,,,,,,,,,
444,Statues,,Fish Statue,No,1,,,,,,,,,
445,Statues,,Bunny Statue,No,1,,,,,,,,,
446,Statues,,Skeleton Statue,No,1,,,,,,,,,
447,Statues,,Reaper Statue,No,1,,,,,,,,,
448,Statues,,Woman Statue,No,1,,,,,,,,,
449,Statues,,Imp Statue,No,1,,,,,,,,,
450,Statues,,Gargoyle Statue,No,1,,,,,,,,,
451,Statues,,Gloom Statue,No,1,,,,,,,,,
452,Statues,,Hornet Statue,No,1,,,,,,,,,
453,Statues,,Bomb Statue,No,1,,,,,,,,,
454,Statues,,Crab Statue,No,1,,,,,,,,,
455,Statues,,Hammer Statue,No,1,,,,,,,,,
456,Statues,,Potion Statue,No,1,,,,,,,,,
457,Statues,,Spear Statue,No,1,,,,,,,,,
458,Statues,,Cross Statue,No,1,,,,,,,,,
459,Statues,,Jellyfish Statue,No,1,,,,,,,,,
460,Statues,,Bow Statue,No,1,,,,,,,,,
461,Statues,,Boomerang Statue,No,1,,,,,,,,,
462,Statues,,Boot Statue,No,1,,,,,,,,,
463,Statues,,Chest Statue,No,1,,,,,,,,,
464,Statues,,Bird Statue,No,1,,,,,,,,,
465,Statues,,Axe Statue,No,1,,,,,,,,,
466,Statues,,Corrupt Statue,No,1,,,,,,,,,
467,Statues,,Tree Statue,No,1,,,,,,,,,
468,Statues,,Anvil Statue,No,1,,,,,,,,,
469,Statues,,Pickaxe Statue,No,1,,,,,,,,,
470,Statues,,Mushroom Statue,No,1,,,,,,,,,
471,Statues,,Eyeball Statue,No,1,,,,,,,,,
472,Statues,,Pillar Statue,No,1,,,,,,,,,
473,Statues,,Heart Statue,No,1,,,,,,,,,
474,Statues,,Pot Statue,No,1,,,,,,,,,
475,Statues,,Sunflower Statue,No,1,,,,,,,,,
476,Statues,,King Statue,No,1,,,,,,,,,
477,Statues,,Queen Statue,No,1,,,,,,,,,
478,Statues,,Piranha Statue,No,1,,,,,,,,,
479,Walls/Wallpaper,,Planked Wall,No,400,,,,,,,,,
480,Blocks,,Wooden Beam,No,50,,,,,,,,,
481,Weapons,,Adamantite Repeater,No,1,,,,,,,,,
482,Weapons,,Adamantite Sword,No,1,,,,,,,,,
483,Weapons,,Cobalt Sword,No,1,,,,,,,,,
484,Weapons,,Mythril Sword,No,1,,,,,,,,,
485,Accessories,,Moon Charm,No,1,,,,,,,,,
486,Weapons,,Ruler,No,1,,,,,,,,,
487,Furniture (Other),,Crystal Ball,No,1,,,,,,,,,
488,Lighting,,Disco Ball,No,1,,,,,,,,,
489,Accessories,,Sorcerer Emblem,No,1,,,,,,,,,
490,Accessories,,Warrior Emblem,No,1,,,,,,,,,
491,Accessories,,Ranger Emblem,No,1,,,,,,,,,
492,Wings,,Demon Wings,No,1,,,,,,,,,
493,Wings,,Angel Wings,No,1,,,,,,,,,
494,Weapons,,Magical Harp,No,1,,,,,,,,,
495,Weapons,,Rainbow Rod,No,1,,,,,,,,,
496,Tools,,Ice Rod,No,1,,,,,,,,,
497,Accessories,,Neptune's Shell,No,1,,,,,,,,,
498,Furniture (Other),,Mannequin,No,1,,,,,,,,,
499,Potions,,Greater Healing Potion,No,30,,,,,,,,,
500,Potions,,Greater Mana Potion,No,30,,,,,,,,,
501,Crafting,,Pixie Dust,No,25,,,,,,,,,
502,Crafting,,Crystal Shard,No,25,,,,,,,,,
503,Vanity,,Clown Hat,No,1,,,,,,,,,
504,Vanity,,Clown Shirt,No,1,,,,,,,,,
505,Vanity,,Clown Pants,No,1,,,,,,,,,
506,Weapons,,Flamethrower,No,1,,,,,,,,,
507,Crafting,,Bell,No,1,,,,,,,,,
508,Crafting,,Harp,No,1,,,,,,,,,
509,Tools,,Red Wrench,No,1,,,,,,,,,
510,Tools,,Wire Cutter,No,1,,,,,,,,,
511,Mechanisms,,Active Stone Block,No,100,,,,,,,,,
512,Item States,,Inactive Stone Block,No,100,,,,,,,,,
513,Mechanisms,,Lever,No,5,,,,,,,,,
514,Weapons,,Laser Rifle,No,1,,,,,,,,,
515,Weapons (Thrown/Ammo),,Crystal Bullet,No,99,,,,,,,,,
516,Weapons (Thrown/Ammo),,Holy Arrow,No,99,,,,,,,,,
517,Weapons,,Magic Dagger,No,1,,,,,,,,,
518,Weapons,,Crystal Storm,No,1,,,,,,,,,
519,Weapons,,Cursed Flames,No,1,,,,,,,,,
520,Crafting,,Soul of Light,No,25,,,,,,,,,
521,Crafting,,Soul of Night,No,25,,,,,,,,,
522,Crafting,,Cursed Flame,No,25,,,,,,,,,
523,Lighting,,Cursed Torch,No,100,,,,,,,,,
524,Crafting Stations,,Adamantite Forge,No,1,,,,,,,,,
525,Crafting Stations,,Mythril Anvil,No,1,,,,,,,,,
526,Crafting,,Unicorn Horn,No,5,,,,,,,,,
527,Crafting,,Dark Shard,No,1,,,,,,,,,
528,Crafting,,Light Shard,No,1,,,,,,,,,
529,Mechanisms,,Red Pressure Plate,No,5,,,,,,,,,
530,Weapons (Thrown/Ammo),,Wire,No,100,,,,,,,,,
531,Crafting,,Spell Tome,No,1,,,,,,,,,
532,Accessories,,Star Cloak,No,1,,,,,,,,,
533,Weapons,,Megashark,No,1,,,,,,,,,
534,Weapons,,Shotgun,No,1,,,,,,,,,
535,Accessories,,Philosopher's Stone,No,1,,,,,,,,,
536,Accessories,,Titan Glove,No,1,,,,,,,,,
537,Weapons,,Cobalt Naginata,No,1,,,,,,,,,
538,Mechanisms,,Switch,No,5,,,,,,,,,
539,Mechanisms,,Dart Trap,No,5,,,,,,,,,
540,Mechanisms,,Boulder,No,5,,,,,,,,,
541,Mechanisms,,Green Pressure Plate,No,5,,,,,,,,,
542,Mechanisms,,Gray Pressure Plate,No,5,,,,,,,,,
543,Mechanisms,,Brown Pressure Plate,No,5,,,,,,,,,
544,Keys/Boss Summons,,Mechanical Eye,No,3,,,,,,,,,
545,Weapons (Thrown/Ammo),,Cursed Arrow,No,99,,,,,,,,,
546,Weapons (Thrown/Ammo),,Cursed Bullet,No,99,,,,,,,,,
547,Crafting,,Soul of Fright,No,25,,,,,,,,,
548,Crafting,,Soul of Might,No,25,,,,,,,,,
549,Crafting,,Soul of Sight,No,25,,,,,,,,,
550,Weapons,,Gungnir,No,1,,,,,,,,,
551,Armor,,Hallowed Plate Mail,No,1,,,,,,,,,
552,Armor,,Hallowed Greaves,No,1,,,,,,,,,
553,Armor,,Hallowed Helmet,No,1,,,,,,,,,
554,Accessories,,Cross Necklace,No,1,,,,,,,,,
555,Accessories,,Mana Flower,No,1,,,,,,,,,
556,Keys/Boss Summons,,Mechanical Worm,No,3,,,,,,,,,
557,Keys/Boss Summons,,Mechanical Skull,No,3,,,,,,,,,
558,Armor,,Hallowed Headgear,No,1,,,,,,,,,
559,Armor,,Hallowed Mask,No,1,,,,,,,,,
560,Keys/Boss Summons,,Slime Crown,No,3,,,,,,,,,
561,Weapons,,Light Disc,No,1,,,,,,,,,
562,Music Boxes,,Music Box (Overworld Day),No,1,,,,,,,,,
563,Music Boxes,,Music Box (Eerie),No,1,,,,,,,,,
564,Music Boxes,,Music Box (Night),No,1,,,,,,,,,
565,Music Boxes,,Music Box (Title),No,1,,,,,,,,,
566,Music Boxes,,Music Box (Underground),No,1,,,,,,,,,
567,Music Boxes,,Music Box (Boss 1),No,1,,,,,,,,,
568,Music Boxes,,Music Box (Jungle),No,1,,,,,,,,,
569,Music Boxes,,Music Box (Corruption),No,1,,,,,,,,,
570,Music Boxes,,Music Box (Underground Corruption),No,1,,,,,,,,,
571,Music Boxes,,Music Box (The Hallow),No,1,,,,,,,,,
572,Music Boxes,,Music Box (Boss 2),No,1,,,,,,,,,
573,Music Boxes,,Music Box (Underground Hallow),No,1,,,,,,,,,
574,Music Boxes,,Music Box (Boss 3),No,1,,,,,,,,,
575,Crafting,,Soul of Flight,No,25,,,,,,,,,
576,Music Boxes,,Music Box,No,1,,,,,,,,,
577,Blocks,,Demonite Brick,No,100,,,,,,,,,
578,Weapons,,Hallowed Repeater,No,1,,,,,,,,,
579,Tools,,Drax,No,1,,,,,,,,,
580,Mechanisms,,Explosives,No,5,,,,,,,,,
581,Mechanisms,,Inlet Pump,No,1,,,,,,,,,
582,Mechanisms,,Outlet Pump,No,1,,,,,,,,,
583,Mechanisms,,1 Second Timer,No,1,,,,,,,,,
584,Mechanisms,,3 Second Timer,No,1,,,,,,,,,
585,Mechanisms,,5 Second Timer,No,1,,,,,,,,,
586,Blocks,,Candy Cane Block,No,100,,,,,,,,,
587,Walls/Wallpaper,,Candy Cane Wall,No,400,,,,,,,,,
588,Vanity,,Santa Hat,No,1,,,,,,,,,
589,Vanity,,Santa Shirt,No,1,,,,,,,,,
590,Vanity,,Santa Pants,No,1,,,,,,,,,
591,Blocks,,Green Candy Cane Block,No,100,,,,,,,,,
592,Walls/Wallpaper,,Green Candy Cane Wall,No,400,,,,,,,,,
593,Blocks,,Snow Block,No,100,,,,,,,,,
594,Blocks,,Snow Brick,No,100,,,,,,,,,
595,Walls/Wallpaper,,Snow Brick Wall,No,400,,,,,,,,,
596,Christmas,,Blue Light,No,25,,,,,,,,,
597,Christmas,,Red Light,No,25,,,,,,,,,
598,Christmas,,Green Light,No,25,,,,,,,,,
602,Keys/Boss Summons,,Snow Globe,No,3,,,,,,,,,
603,Pets/Mounts,,Carrot,No,1,Unobtainable On Console,,,,,,,,
604,Blocks,,Adamantite Beam,No,100,,,,,,,,,
605,Walls/Wallpaper,,Adamantite Beam Wall,No,400,,,,,,,,,
606,Walls/Wallpaper,,Demonite Brick Wall,No,400,,,,,,,,,
607,Blocks,,Sandstone Brick,No,100,,,,,,,,,
608,Walls/Wallpaper,,Sandstone Brick Wall,No,400,,,,,,,,,
609,Blocks,,Ebonstone Brick,No,100,,,,,,,,,
610,Walls/Wallpaper,,Ebonstone Brick Wall,No,400,,,,,,,,,
611,Blocks,,Red Stucco,No,100,,,,,,,,,
612,Blocks,,Yellow Stucco,No,100,,,,,,,,,
613,Blocks,,Green Stucco,No,100,,,,,,,,,
614,Blocks,,Gray Stucco,No,100,,,,,,,,,
615,Walls/Wallpaper,,Red Stucco Wall,No,400,,,,,,,,,
616,Walls/Wallpaper,,Yellow Stucco Wall,No,400,,,,,,,,,
617,Walls/Wallpaper,,Green Stucco Wall,No,400,,,,,,,,,
618,Walls/Wallpaper,,Gray Stucco Wall,No,400,,,,,,,,,
619,Blocks,,Ebonwood,No,100,,,,,,,,,
620,Blocks,,Rich Mahogany,No,100,,,,,,,,,
621,Blocks,,Pearlwood,No,100,,,,,,,,,
622,Walls/Wallpaper,,Ebonwood Wall,No,400,,,,,,,,,
623,Walls/Wallpaper,,Rich Mahogany Wall,No,400,,,,,,,,,
624,Walls/Wallpaper,,Pearlwood Wall,No,400,,,,,,,,,
625,Chests/Crates,,Ebonwood Chest,No,1,,,,,,,,,
626,Chests/Crates,,Rich Mahogany Chest,No,1,,,,,,,,,
627,Chests/Crates,,Pearlwood Chest,No,1,,,,,,,,,
628,Furniture (Sets),,Ebonwood Chair,No,1,,,,,,,,,
629,Furniture (Sets),,Rich Mahogany Chair,No,1,,,,,,,,,
630,Furniture (Sets),,Pearlwood Chair,No,1,,,,,,,,,
631,Platforms/Fencing,,Ebonwood Platform,No,200,,,,,,,,,
632,Platforms/Fencing,,Rich Mahogany Platform,No,200,,,,,,,,,
633,Platforms/Fencing,,Pearlwood Platform,No,200,,,,,,,,,
634,Platforms/Fencing,,Bone Platform,No,200,,,,,,,,,
635,Furniture (Sets),,Ebonwood Work Bench,No,1,,,,,,,,,
636,Furniture (Sets),,Rich Mahogany Work Bench,No,1,,,,,,,,,
637,Furniture (Sets),,Pearlwood Work Bench,No,1,,,,,,,,,
638,Furniture (Sets),,Ebonwood Table,No,1,,,,,,,,,
639,Furniture (Sets),,Rich Mahogany Table,No,1,,,,,,,,,
640,Furniture (Sets),,Pearlwood Table,No,1,,,,,,,,,
641,Furniture (Sets),,Ebonwood Piano,No,1,,,,,,,,,
642,Furniture (Sets),,Rich Mahogany Piano,No,1,,,,,,,,,
643,Furniture (Sets),,Pearlwood Piano,No,1,,,,,,,,,
644,Furniture (Sets),,Ebonwood Bed,No,1,,,,,,,,,
645,Furniture (Sets),,Rich Mahogany Bed,No,1,,,,,,,,,
646,Furniture (Sets),,Pearlwood Bed,No,1,,,,,,,,,
647,Furniture (Sets),,Ebonwood Dresser,No,1,,,,,,,,,
648,Furniture (Sets),,Rich Mahogany Dresser,No,1,,,,,,,,,
649,Furniture (Sets),,Pearlwood Dresser,No,1,,,,,,,,,
650,Furniture (Sets),,Ebonwood Door,No,1,,,,,,,,,
651,Furniture (Sets),,Rich Mahogany Door,No,1,,,,,,,,,
652,Furniture (Sets),,Pearlwood Door,No,1,,,,,,,,,
653,Weapons,,Ebonwood Sword,No,1,,,,,,,,,
654,Tools,,Ebonwood Hammer,No,1,,,,,,,,,
655,Weapons,,Ebonwood Bow,No,1,,,,,,,,,
656,Weapons,,Rich Mahogany Sword,No,1,,,,,,,,,
657,Tools,,Rich Mahogany Hammer,No,1,,,,,,,,,
658,Weapons,,Rich Mahogany Bow,No,1,,,,,,,,,
659,Weapons,,Pearlwood Sword,No,1,,,,,,,,,
660,Tools,,Pearlwood Hammer,No,1,,,,,,,,,
661,Weapons,,Pearlwood Bow,No,1,,,,,,,,,
662,Blocks,,Rainbow Brick,No,100,,,,,,,,,
663,Walls/Wallpaper,,Rainbow Brick Wall,No,400,,,,,,,,,
664,Blocks,,Ice Block,No,100,,,,,,,,,
665,Wings,,Red's Wings,No,1,,,,,,,,,
666,Vanity (Developer),,Red's Helmet,No,1,,,,,,,,,
667,Vanity (Developer),,Red's Breastplate,No,1,,,,,,,,,
668,Vanity (Developer),,Red's Leggings,No,1,,,,,,,,,
669,Pets/Mounts,,Fish (item),No,1,,,,,,,,,
670,Weapons,,Ice Boomerang,No,1,,,,,,,,,
671,Weapons,,Keybrand,No,1,,,,,,,,,
672,Weapons,,Cutlass,No,1,,,,,,,,,
673,Furniture (Sets),,Boreal Wood Work Bench,No,1,,,,,,,,,
674,Weapons,,True Excalibur,No,1,,,,,,,,,
675,Weapons,,True Night's Edge,No,1,,,,,,,,,
676,Weapons,,Frostbrand,No,1,,,,,,,,,
677,Furniture (Sets),,Boreal Wood Table,No,1,,,,,,,,,
678,Potions,,Red Potion,No,10,,,,,,,,,
679,Weapons,,Tactical Shotgun,No,1,,,,,,,,,
680,Chests/Crates,,Ivy Chest,No,1,,,,,,,,,
681,Chests/Crates,,Frozen Chest,No,1,,,,,,,,,
682,Weapons,,Marrow,No,1,,,,,,,,,
683,Weapons,,Unholy Trident,No,1,,,,,,,,,
684,Armor,,Frost Helmet,No,1,,,,,,,,,
685,Armor,,Frost Breastplate,No,1,,,,,,,,,
686,Armor,,Frost Leggings,No,1,,,,,,,,,
687,Armor,,Tin Helmet,No,1,,,,,,,,,
688,Armor,,Tin Chainmail,No,1,,,,,,,,,
689,Armor,,Tin Greaves,No,1,,,,,,,,,
690,Armor,,Lead Helmet,No,1,,,,,,,,,
691,Armor,,Lead Chainmail,No,1,,,,,,,,,
692,Armor,,Lead Greaves,No,1,,,,,,,,,
693,Armor,,Tungsten Helmet,No,1,,,,,,,,,
694,Armor,,Tungsten Chainmail,No,1,,,,,,,,,
695,Armor,,Tungsten Greaves,No,1,,,,,,,,,
696,Armor,,Platinum Helmet,No,1,,,,,,,,,
697,Armor,,Platinum Chainmail,No,1,,,,,,,,,
698,Armor,,Platinum Greaves,No,1,,,,,,,,,
699,Ore/Bars/Gems,,Tin Ore,No,100,,,,,,,,,
700,Ore/Bars/Gems,,Lead Ore,No,100,,,,,,,,,
701,Ore/Bars/Gems,,Tungsten Ore,No,100,,,,,,,,,
702,Ore/Bars/Gems,,Platinum Ore,No,100,,,,,,,,,
703,Ore/Bars/Gems,,Tin Bar,No,25,,,,,,,,,
704,Ore/Bars/Gems,,Lead Bar,No,25,,,,,,,,,
705,Ore/Bars/Gems,,Tungsten Bar,No,25,,,,,,,,,
706,Ore/Bars/Gems,,Platinum Bar,No,25,,,,,,,,,
707,Accessories,,Tin Watch,No,1,,,,,,,,,
708,Accessories,,Tungsten Watch,No,1,,,,,,,,,
709,Accessories,,Platinum Watch,No,1,,,,,,,,,
710,Lighting,,Tin Chandelier,No,1,,,,,,,,,
711,Lighting,,Tungsten Chandelier,No,1,,,,,,,,,
712,Lighting,,Platinum Chandelier,No,1,,,,,,,,,
713,Lighting,,Platinum Candle,No,1,,,,,,,,,
714,Lighting,,Platinum Candelabra,No,1,,,,,,,,,
715,Vanity,,Platinum Crown,No,1,,,,,,,,,
716,Crafting Stations,,Lead Anvil,No,1,,,,,,,,,
717,Blocks,,Tin Brick,No,100,,,,,,,,,
718,Blocks,,Tungsten Brick,No,100,,,,,,,,,
719,Blocks,,Platinum Brick,No,100,,,,,,,,,
720,Walls/Wallpaper,,Tin Brick Wall,No,400,,,,,,,,,
721,Walls/Wallpaper,,Tungsten Brick Wall,No,400,,,,,,,,,
722,Walls/Wallpaper,,Platinum Brick Wall,No,400,,,,,,,,,
723,Weapons,,Beam Sword,No,1,,,,,,,,,
724,Weapons,,Ice Blade,No,1,,,,,,,,,
725,Weapons,,Ice Bow,No,1,,,,,,,,,
726,Weapons,,Frost Staff,No,1,,,,,,,,,
727,Armor,,Wood Helmet,No,1,,,,,,,,,
728,Armor,,Wood Breastplate,No,1,,,,,,,,,
729,Armor,,Wood Greaves,No,1,,,,,,,,,
730,Armor,,Ebonwood Helmet,No,1,,,,,,,,,
731,Armor,,Ebonwood Breastplate,No,1,,,,,,,,,
732,Armor,,Ebonwood Greaves,No,1,,,,,,,,,
733,Armor,,Rich Mahogany Helmet,No,1,,,,,,,,,
734,Armor,,Rich Mahogany Breastplate,No,1,,,,,,,,,
735,Armor,,Rich Mahogany Greaves,No,1,,,,,,,,,
736,Armor,,Pearlwood Helmet,No,1,,,,,,,,,
737,Armor,,Pearlwood Breastplate,No,1,,,,,,,,,
738,Armor,,Pearlwood Greaves,No,1,,,,,,,,,
739,Weapons,,Amethyst Staff,No,1,,,,,,,,,
740,Weapons,,Topaz Staff,No,1,,,,,,,,,
741,Weapons,,Sapphire Staff,No,1,,,,,,,,,
742,Weapons,,Emerald Staff,No,1,,,,,,,,,
743,Weapons,,Ruby Staff,No,1,,,,,,,,,
744,Weapons,,Diamond Staff,No,1,,,,,,,,,
745,Walls/Wallpaper,,Grass Wall,No,400,,,,,,,,,
746,Walls/Wallpaper,,Jungle Wall,No,400,,,,,,,,,
747,Walls/Wallpaper,,Flower Wall,No,400,,,,,,,,,
748,Wings,,Jetpack,No,1,,,,,,,,,
749,Wings,,Butterfly Wings,No,1,,,,,,,,,
750,Walls/Wallpaper,,Cactus Wall,No,400,,,,,,,,,
751,Blocks,,Cloud,No,100,,,,,,,,,
752,Walls/Wallpaper,,Cloud Wall,No,400,,,,,,,,,
753,Pets/Mounts,,Seaweed (pet),No,1,,,,,,,,,
754,Vanity,,Rune Hat,No,1,,,,,,,,,
755,Vanity,,Rune Robe,No,1,,,,,,,,,
756,Weapons,,Mushroom Spear,No,1,,,,,,,,,
757,Weapons,,Terra Blade,No,1,,,,,,,,,
758,Weapons,,Grenade Launcher,No,1,,,,,,,,,
759,Weapons,,Rocket Launcher,No,1,,,,,,,,,
760,Weapons,,Proximity Mine Launcher,No,1,,,,,,,,,
761,Wings,,Fairy Wings,No,1,,,,,,,,,
762,Blocks,,Slime Block,No,100,,,,,,,,,
763,Blocks,,Flesh Block,No,100,,,,,,,,,
764,Walls/Wallpaper,,Mushroom Wall,No,400,,,,,,,,,
765,Blocks,,Rain Cloud,No,100,,,,,,,,,
767,Blocks,,Frozen Slime Block,No,100,,,,,,,,,
768,Walls/Wallpaper,,Bone Block Wall,No,400,,,,,,,,,
769,Walls/Wallpaper,,Slime Block Wall,No,400,,,,,,,,,
770,Walls/Wallpaper,,Flesh Block Wall,No,400,,,,,,,,,
771,Weapons (Thrown/Ammo),,Rocket I,No,99,,,,,,,,,
772,Weapons (Thrown/Ammo),,Rocket II,No,99,,,,,,,,,
773,Weapons (Thrown/Ammo),,Rocket III,No,99,,,,,,,,,
774,Weapons (Thrown/Ammo),,Rocket IV,No,99,,,,,,,,,
775,Blocks,,Asphalt Block,No,100,,,,,,,,,
776,Tools,,Cobalt Pickaxe,No,1,,,,,,,,,
777,Tools,,Mythril Pickaxe,No,1,,,,,,,,,
778,Tools,,Adamantite Pickaxe,No,1,,,,,,,,,
779,Tools,,Clentaminator,No,1,,,,,,,,,
780,Weapons (Thrown/Ammo),,Green Solution,No,99,,,,,,,,,
781,Weapons (Thrown/Ammo),,Blue Solution,No,99,,,,,,,,,
782,Weapons (Thrown/Ammo),,Purple Solution,No,99,,,,,,,,,
783,Weapons (Thrown/Ammo),,Dark Blue Solution,No,99,,,,,,,,,
784,Weapons (Thrown/Ammo),,Red Solution,No,99,,,,,,,,,
785,Wings,,Harpy Wings,No,1,,,,,,,,,
786,Wings,,Bone Wings,No,1,,,,,,,,,
787,Tools,,Hammush,No,1,,,,,,,,,
788,Weapons,,Nettle Burst,No,1,,,,,,,,,
789,Banners (Decorative),,Ankh Banner,No,1,,,,,,,,,
790,Banners (Decorative),,Snake Banner,No,1,,,,,,,,,
791,Banners (Decorative),,Omega Banner,No,1,,,,,,,,,
792,Armor,,Crimson Helmet,No,1,,,,,,,,,
793,Armor,,Crimson Scalemail,No,1,,,,,,,,,
794,Armor,,Crimson Greaves,No,1,,,,,,,,,
795,Weapons,,Blood Butcherer,No,1,,,,,,,,,
796,Weapons,,Tendon Bow,No,1,,,,,,,,,
797,Tools,,Flesh Grinder,No,1,,,,,,,,,
798,Tools,,Deathbringer Pickaxe,No,1,,,,,,,,,
799,Tools,,Blood Lust Cluster,No,1,,,,,,,,,
800,Weapons,,The Undertaker,No,1,,,,,,,,,
801,Weapons,,The Meatball,No,1,,,,,,,,,
802,Weapons,,The Rotted Fork,No,1,,,,,,,,,
803,Armor,,Snow Hood,No,1,,,,,,,,,
804,Armor,,Snow Coat,No,1,,,,,,,,,
805,Armor,,Snow Pants,No,1,,,,,,,,,
806,Furniture (Sets),,Living Wood Chair,No,1,,,,,,,,,
807,Furniture (Sets),,Cactus Chair,No,1,,,,,,,,,
808,Furniture (Sets),,Bone Chair,No,1,,,,,,,,,
809,Furniture (Sets),,Flesh Chair,No,1,,,,,,,,,
810,Furniture (Sets),,Mushroom Chair,No,1,,,,,,,,,
811,Furniture (Sets),,Bone Work Bench,No,1,,,,,,,,,
812,Furniture (Sets),,Cactus Work Bench,No,1,,,,,,,,,
813,Furniture (Sets),,Flesh Work Bench,No,1,,,,,,,,,
814,Furniture (Sets),,Mushroom Work Bench,No,1,,,,,,,,,
815,Furniture (Sets),,Slime Work Bench,No,1,,,,,,,,,
816,Furniture (Sets),,Cactus Door,No,1,,,,,,,,,
817,Furniture (Sets),,Flesh Door,No,1,,,,,,,,,
818,Furniture (Sets),,Mushroom Door,No,1,,,,,,,,,
819,Furniture (Sets),,Living Wood Door,No,1,,,,,,,,,
820,Furniture (Sets),,Bone Door,No,1,,,,,,,,,
821,Wings,,Flame Wings,No,1,,,,,,,,,
822,Wings,,Frozen Wings,No,1,,,,,,,,,
823,Wings,,Spectre Wings,No,1,,,,,,,,,
824,Blocks,,Sunplate Block,No,100,,,,,,,,,
825,Walls/Wallpaper,,Disc Wall,No,400,,,,,,,,,
826,Furniture (Sets),,Skyware Chair,No,1,,,,,,,,,
827,Furniture (Sets),,Bone Table,No,1,,,,,,,,,
828,Furniture (Sets),,Flesh Table,No,1,,,,,,,,,
829,Furniture (Sets),,Living Wood Table,No,1,,,,,,,,,
830,Furniture (Sets),,Skyware Table,No,1,,,,,,,,,
831,Chests/Crates,,Living Wood Chest,No,1,,,,,,,,,
832,Tools,,Living Wood Wand,No,1,,,,,,,,,
833,Blocks,,Purple Ice Block,No,100,,,,,,,,,
834,Blocks,,Pink Ice Block,No,100,,,,,,,,,
835,Blocks,,Red Ice Block,No,100,,,,,,,,,
836,Blocks,,Crimstone Block,No,100,,,,,,,,,
837,Furniture (Sets),,Skyware Door,No,1,,,,,,,,,
838,Chests/Crates,,Skyware Chest,No,1,,,,,,,,,
839,Vanity,,Steampunk Hat,No,1,,,,,,,,,
840,Vanity,,Steampunk Shirt,No,1,,,,,,,,,
841,Vanity,,Steampunk Pants,No,1,,,,,,,,,
842,Vanity,,Bee Hat,No,1,,,,,,,,,
843,Vanity,,Bee Shirt,No,1,,,,,,,,,
844,Vanity,,Bee Pants,No,1,,,,,,,,,
845,Banners (Decorative),,World Banner,No,1,,,,,,,,,
846,Banners (Decorative),,Sun Banner,No,1,,,,,,,,,
847,Banners (Decorative),,Gravity Banner,No,1,,,,,,,,,
848,Vanity,,Pharaoh's Mask,No,1,,,,,,,,,
849,Mechanisms,,Actuator,No,50,,,,,,,,,
850,Tools,,Blue Wrench,No,1,,,,,,,,,
851,Tools,,Green Wrench,No,1,,,,,,,,,
852,Mechanisms,,Blue Pressure Plate,No,5,,,,,,,,,
853,Mechanisms,,Yellow Pressure Plate,No,5,,,,,,,,,
854,Accessories,,Discount Card,No,1,,,,,,,,,
855,Accessories,,Lucky Coin,No,1,,,,,,,,,
856,Tools,,Unicorn on a Stick,No,1,,,,,,,,,
857,Accessories,,Sandstorm in a Bottle,No,1,,,,,,,,,
858,Furniture (Sets),,Boreal Wood Sofa,No,1,,,,,,,,,
859,Miscellaneous,,Beach Ball,No,1,,,,,,,,,
860,Accessories,,Charm of Myths,No,1,,,,,,,,,
861,Accessories,,Moon Shell,No,1,,,,,,,,,
862,Accessories,,Star Veil,No,1,,,,,,,,,
863,Accessories,,Water Walking Boots,No,1,,,,,,,,,
864,Vanity,,Tiara,No,1,,,,,,,,,
865,Vanity,,Princess Dress,No,1,,,,,,,,,
866,Vanity,,Pharaoh's Robe,No,1,,,,,,,,,
867,Armor,,Green Cap,No,1,,,,,,,,,
868,Vanity,,Mushroom Cap,No,1,,,,,,,,,
869,Vanity,,Tam O' Shanter,No,1,,,,,,,,,
870,Vanity,,Mummy Mask,No,1,,,,,,,,,
871,Vanity,,Mummy Shirt,No,1,,,,,,,,,
872,Vanity,,Mummy Pants,No,1,,,,,,,,,
873,Vanity,,Cowboy Hat,No,1,,,,,,,,,
874,Vanity,,Cowboy Jacket,No,1,,,,,,,,,
875,Vanity,,Cowboy Pants,No,1,,,,,,,,,
876,Vanity,,Pirate Hat,No,1,,,,,,,,,
877,Vanity,,Pirate Shirt,No,1,,,,,,,,,
878,Vanity,,Pirate Pants,No,1,,,,,,,,,
879,Armor,,Viking Helmet,No,1,,,,,,,,,
880,Ore/Bars/Gems,,Crimtane Ore,No,100,,,,,,,,,
